Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
1950,1,23.7,11,38.4,5.7
1950,2,23,14.2,36.7,9.9
1950,3,21.9,12.3,31.1,7.4
1950,4,19.3,9.6,23.9,2.9
1950,5,15.8,6.9,22.9,0.5
1950,6,12.2,4.2,16.9,-1.7
1950,7,13.9,4.3,18.7,-1.3
1950,8,15,4.6,18.4,-0.8
1950,9,18.1,6.4,23.2,2.4
1950,10,18.9,8.7,24.8,4.9
1950,11,21.6,9.8,31.8,0.8
1950,12,25.7,12.8,37.7,7.2
1951,1,27.3,14.5,36.3,10.2
1951,2,25.4,14.9,35.8,9.4
1951,3,25,13.3,33.9,7.2
1951,4,17.9,8.7,27.3,6.3
1951,5,17.7,7.7,20.7,4.4
1951,6,13.9,6.6,17.2,1.7
1951,7,13.5,5.4,17.6,-0.3
1951,8,12.7,4.6,17.1,0.7
1951,9,16.7,7.2,25.8,2
1951,10,18.7,7.6,26.1,4.1
1951,11,21.1,8.6,31.1,5.2
1951,12,23.1,11.1,35.2,7.2
1952,1,24.8,12.3,37.2,7.7
1952,2,22.8,12.7,36.6,8.2
1952,3,23.6,13.2,33.9,8.3
1952,4,18.3,10.8,28.1,3.9
1952,5,15.3,7.4,22.2,2.8
1952,6,13.4,7.6,18.1,2.8
1952,7,12.2,4.5,16.9,-0.4
1952,8,13.7,5.8,17.9,0.3
1952,9,16.8,7.5,24.3,3.2
1952,10,18.5,9,35.7,3.6
1952,11,19.7,9.8,28.9,5.9
1952,12,22.2,11.9,35.7,8.1
1953,1,23.9,13.5,33.7,9
1953,2,24.4,13.9,36.2,9.4
1953,3,24.6,12.3,38.3,3.4
1953,4,20.7,11,30.5,1.7
1953,5,17,9,25.6,2.9
1953,6,13.3,6.5,16.8,1.1
1953,7,13.6,5.1,17.4,-0.8
1953,8,14.1,6,18.3,1.6
1953,9,16.3,6.1,22.6,1.5
1953,10,18.6,7.7,28.1,2.8
1953,11,20.2,9.2,31.2,4.7
1953,12,23.8,10.9,39.8,6.6
1954,1,26.5,15.3,37.9,11.1
1954,2,21.9,13.6,34.5,7.6
1954,3,23.2,10.6,33.4,5.6
1954,4,20.3,10.4,32.9,6.6
1954,5,16.3,7.4,20.1,1.3
1954,6,13.9,6.7,20.2,0.1
1954,7,12.7,4.6,18.3,-2
1954,8,14.9,5.5,20.6,0.1
1954,9,16.4,6,24.7,-0.8
1954,10,18.7,8.2,28.8,3.3
1954,11,19.9,9.7,36.8,5.4
1954,12,24,12.4,36.7,7.9
1955,1,26.1,14.1,40,9.1
1955,2,24.6,15.6,36.9,9.9
1955,3,22.3,12.5,31.4,7.8
1955,4,20,9.2,29.6,3.1
1955,5,15.1,6.7,20.5,3.2
1955,6,13.3,5.4,17.9,-0.6
1955,7,13.1,5.4,18.1,0.2
1955,8,15.2,6.5,20.9,1.8
1955,9,17,6.6,22.3,0.2
1955,10,19,8.2,25.2,3.3
1955,11,20,7.8,31.7,3.3
1955,12,22.6,11.4,36.1,4.4
1956,1,24,13,35.9,7.2
1956,2,27.3,16,38.5,10.9
1956,3,24.1,15.1,29.5,9.3
1956,4,20.1,10.5,28.4,5.6
1956,5,15.9,8,20.5,3.4
1956,6,13.3,5.3,17.1,-1.2
1956,7,13.6,5.3,17.4,-2.1
1956,8,14,3.9,17.8,-2.8
1956,9,16.6,6.1,24.1,2.4
1956,10,16.9,7.4,23.9,3.4
1956,11,18.9,7.9,31.4,4.1
1956,12,22.7,9.3,30,5.5
1957,1,25.6,9.7,38.7,6.3
1957,2,24.6,12.8,35.7,8.3
1957,3,22.9,10.7,33.8,5.6
1957,4,20.6,8.8,29.6,0.6
1957,5,17.1,7.1,24.6,1.1
1957,6,17.8,8.5,24.3,-1.1
1957,7,13.1,4.2,15.9,-2.8
1957,8,15,4.5,19.6,-1.2
1957,9,16.9,5.6,25.8,-1.1
1957,10,18,7.9,31.6,2.8
1957,11,22.1,8.4,33.9,3.3
1957,12,23.1,11.3,35.7,7.2
1958,1,22.7,12,38.6,7.1
1958,2,24.7,13.2,38.3,7.6
1958,3,23.5,12.2,33.4,7.2
1958,4,20.8,8.6,32.9,4.3
1958,5,17.6,9.4,24.4,4.1
1958,6,13.9,4.9,20.6,-0.4
1958,7,13.1,4.9,16.2,-1.2
1958,8,14,6.1,18.9,0.5
1958,9,15.8,5.6,22.2,0
1958,10,17.9,7.8,23.6,3.3
1958,11,21.8,10.8,33.8,4.5
1958,12,21.1,11.1,31.1,6.1
1959,1,28.9,14.9,43,6.9
1959,2,25.2,14.8,40.4,9.7
1959,3,22.7,13.2,32.4,7.2
1959,4,21.6,9.5,31.1,1.9
1959,5,16.6,5.7,22.9,-0.3
1959,6,14.7,5.5,18.7,-0.9
1959,7,13.4,5,16.5,-2.2
1959,8,15.2,5.7,20.7,0.1
1959,9,15.7,6.1,24.3,0
1959,10,18.2,8.3,26.2,3.3
1959,11,23.7,11.7,36.3,4.3
1959,12,23.4,11.2,34.1,7
1960,1,28,14.9,40.4,8.9
1960,2,24.1,12.7,33.4,9.8
1960,3,24.6,12.8,33.9,7.6
1960,4,19.3,10.6,28,5.3
1960,5,14.3,7.1,21,2.8
1960,6,13.5,5.4,16.4,0.9
1960,7,12.7,5,18.8,-1.9
1960,8,13.1,4.3,17.7,-0.6
1960,9,15.9,7.5,22.9,1.1
1960,10,19.5,8.4,29.7,3.9
1960,11,19.3,7.9,29.6,1.8
1960,12,26,13,39.6,7.1
1961,1,29,15.3,40.8,10.2
1961,2,26.4,14.7,37.6,11.3
1961,3,23.9,12.1,34.1,6.8
1961,4,21.5,10.5,30.1,3.9
1961,5,17.3,6.6,21.8,0.7
1961,6,14.9,6.7,19.7,3
1961,7,13.7,5.3,17.4,-1.6
1961,8,15.2,5.7,19.4,0.4
1961,9,18.4,5.9,31.1,1.6
1961,10,21.8,8.8,33.2,3.9
1961,11,23.1,10.6,34.9,5.6
1961,12,25.4,12.8,38.9,6.1
1962,1,26,14.4,39.2,10.2
1962,2,25,12.8,39.8,9.1
1962,3,25.4,13.1,33.4,7.7
1962,4,21.6,10.1,31.8,4.8
1962,5,15.9,7.1,22,0.7
1962,6,16,7.1,19.3,1.1
1962,7,14.6,4.8,18.1,-1.8
1962,8,14.5,4.8,20,-0.8
1962,9,17.1,6.4,24.9,-0.8
1962,10,17.4,6.7,27.3,3.8
1962,11,21.9,8.8,36.7,2.7
1962,12,23.9,12.8,40.2,6.2
1963,1,26,14.3,37.1,9
1963,2,23.7,13.1,35,6.7
1963,3,23.2,12.2,31.9,6.7
1963,4,19.9,7.8,27.3,1.8
1963,5,15.6,9.2,23.7,3.3
1963,6,14.3,5.9,19.2,-1.3
1963,7,12.7,4.6,16.6,-2.8
1963,8,15.1,5.5,19.5,-1.4
1963,9,17.1,7.4,23.3,-0.1
1963,10,20.6,11,29.3,7.6
1963,11,21.5,9.5,33.4,4.6
1963,12,24.5,12.8,37,8.9
1964,1,25.8,12,39.6,7.2
1964,2,23.7,13.1,39,7.8
1964,3,23.6,10.8,35.1,5.5
1964,4,19.4,11.1,33.2,6.1
1964,5,17.1,7.2,22.9,3.4
1964,6,14.5,6.9,18.9,2.6
1964,7,13.5,5.8,16.6,2.1
1964,8,14.9,6.2,19.1,2.7
1964,9,16.8,6.6,22.4,0.2
1964,10,17.8,7.7,25.6,2.8
1964,11,21.3,9.9,32.9,5.7
1964,12,20.9,10.3,32.9,4.7
1965,1,23.7,11.3,41.8,6.3
1965,2,26.3,13.5,38.3,8.2
1965,3,24.4,10.9,40.2,5.2
1965,4,18.2,8.6,25.4,3.9
1965,5,17.2,7.7,23.8,1.8
1965,6,14.9,4.7,20.6,-2.4
1965,7,13.1,3.6,17.2,-1.7
1965,8,15.4,5.8,22,1.7
1965,9,18.2,7,26.9,2.7
1965,10,21,8.6,35.6,0.1
1965,11,21,9,32.7,4.6
1965,12,25.2,14.1,38.9,7.8
1966,1,26.1,13.8,38,7.9
1966,2,23.6,13.7,30.4,9.8
1966,3,24.3,12.6,38.4,5.6
1966,4,20.1,8.4,29.9,4.3
1966,5,16.8,7.7,22.7,1.1
1966,6,13.7,3.8,16.7,-0.6
1966,7,13.2,4,18.9,-0.8
1966,8,14.4,4.3,18.7,0.2
1966,9,16.8,6.7,25.3,3
1966,10,18.4,7.9,27.3,2.4
1966,11,22,9.8,38.6,3.2
1966,12,22.8,11.5,35.9,5.8
1967,1,23.8,12.3,37.3,7.3
1967,2,27.3,14.8,40.8,8.3
1967,3,23.8,11.1,32.8,6.1
1967,4,21.7,9.3,30.4,2.9
1967,5,18,7.1,27.2,1.3
1967,6,14.4,5.1,18.4,0
1967,7,14,4.2,17.8,-0.3
1967,8,14.4,4.6,17.7,-0.6
1967,9,16.7,5.7,24.9,1.6
1967,10,20.8,7.6,30.2,1.7
1967,11,22.7,9.5,37.4,3.3
1967,12,22.4,10.9,38.7,5.6
1968,1,27.7,13.6,44.9,7.1
1968,2,28.4,15.4,41.1,9.7
1968,3,25.4,14.1,37.6,7.7
1968,4,22.8,12.3,33.8,5.1
1968,5,15.3,8.3,19.5,3.9
1968,6,13.2,5.7,18.7,-0.6
1968,7,12.9,4.6,15.4,0.7
1968,8,14.6,4.7,21.1,-0.7
1968,9,16.7,5.1,22,1.2
1968,10,19.7,7.8,31.6,1.8
1968,11,21.8,8.8,31.6,3.7
1968,12,22.9,12.1,33.3,8.3
1969,1,28.1,13.8,39.5,8.7
1969,2,25.9,16.3,37.7,10.6
1969,3,23.1,13.2,33.8,6.2
1969,4,21.3,10,32.8,4.4
1969,5,15.9,6.7,21.7,0
1969,6,13.6,3.9,18.8,-3.3
1969,7,15.2,5,18.9,0.6
1969,8,15.4,6.1,23.4,0.7
1969,9,14.4,5.8,22.3,1.1
1969,10,18.8,8.8,28.6,1.2
1969,11,21.1,10.3,32.2,3.6
1969,12,22.9,10.6,38,5.5
1970,1,24.2,13.2,33.6,9
1970,2,25.3,13.5,37.6,8.2
1970,3,22.8,12.6,34.4,7.3
1970,4,21.1,10.9,27.4,6.2
1970,5,15.4,7.3,21.4,2.2
1970,6,14.1,5.9,18.2,1.4
1970,7,14,5,17.8,1.2
1970,8,14.3,5,19,-1
1970,9,15.3,5,19.7,-1.5
1970,10,19.1,7,28.3,1.1
1970,11,21.4,10.1,30.9,2.9
1970,12,24.2,11.9,37.3,5.9
1971,1,25.7,14.6,38.9,9.4
1971,2,27.3,15.5,35.4,10.7
1971,3,25.8,14.1,33.3,7.3
1971,4,22.1,10.9,27.7,5.9
1971,5,16.5,6.5,22.1,-0.4
1971,6,14.2,5.7,17.2,2.4
1971,7,13.9,3.7,16.9,-2.2
1971,8,14.8,4.3,19.2,-1
1971,9,16.7,5.6,23.7,-1.7
1971,10,18.7,7.3,28.8,2.3
1971,11,20.1,9.4,29.2,3.1
1971,12,24.5,12,33.2,6.7
1972,1,24.8,14.7,31.4,8.7
1972,2,27.3,15.2,38.2,9.8
1972,3,23.4,11.5,33.6,4.8
1972,4,20.6,9.4,29.1,2.8
1972,5,17.7,6.3,27.3,1.1
1972,6,14.2,3,19.7,-1.3
1972,7,14.2,4.7,17.6,0.6
1972,8,15.7,6,23.2,0
1972,9,19.9,7.4,27.9,2.3
1972,10,20.2,8.6,28.5,3
1972,11,21.1,10.2,33.3,5.2
1972,12,26.4,12.9,39.5,8.5
1973,1,27.7,15.4,41.7,9.1
1973,2,25.6,15.1,37,10.9
1973,3,21.9,11.3,31.2,5.8
1973,4,21.3,10.7,28.6,4.7
1973,5,17.1,7.8,21.2,2.3
1973,6,13.6,4.6,19,-1
1973,7,13.4,3.7,17.8,-2.5
1973,8,14.4,5.3,18.4,0.3
1973,9,18.1,7.1,25.2,1.5
1973,10,20.4,9.1,27.2,2.8
1973,11,20.4,10.9,29.4,6.3
1973,12,25.6,13.3,37.5,7.5
1974,1,28.3,16.1,35.8,8.8
1974,2,25.7,15.1,34.1,8.5
1974,3,26.2,15.3,37.1,7.8
1974,4,19.3,11.9,24.1,5.5
1974,5,17.4,9.5,22,1.8
1974,6,14.5,6.2,19.2,1
1974,7,14,6.3,17.2,-0.3
1974,8,14.4,5.7,18.1,-0.5
1974,9,15.8,7,21,1.3
1974,10,18.1,8.6,26.5,3.5
1974,11,20.1,8.9,32.6,2.5
1974,12,23.4,10.1,32.7,5.6
1975,1,23.8,11.7,35.9,6.4
1975,2,26.8,14.4,40.6,9
1975,3,23.3,11.6,33.9,5.4
1975,4,19.2,9.8,25.8,3.4
1975,5,18.6,9.4,26.5,2.4
1975,6,13.7,5.5,17.7,-0.6
1975,7,15.7,6.9,23.5,-1.2
1975,8,14.4,6.4,18.4,0.7
1975,9,17.8,8,23.4,2.5
1975,10,18.6,10.2,28.8,4.8
1975,11,22,12.3,33.3,5.4
1975,12,24.1,14,39.3,7.4
1976,1,25.5,14.3,40.5,10.4
1976,2,26.8,15.7,38.1,9.9
1976,3,24,13.5,33.2,7.5
1976,4,20.7,10.5,29.7,5.7
1976,5,17.2,7.3,24.1,2.3
1976,6,14.5,5.8,19.3,-0.7
1976,7,14.7,4.7,19.7,-1
1976,8,15,5.2,22.4,0
1976,9,16.3,7.2,23.9,1.1
1976,10,17,8.3,24.3,2.8
1976,11,21.1,10.3,30,4
1976,12,25.1,11.6,39,5.9
1977,1,25.6,13.4,35,8.6
1977,2,26.1,14.5,40.6,9.2
1977,3,23.8,12.6,33.7,6.3
1977,4,18.7,9.8,30.2,4.4
1977,5,16.4,8,21.6,3.2
1977,6,13.5,6.7,16.3,2
1977,7,13.3,3.9,16.9,-0.5
1977,8,16.8,6.8,24,0
1977,9,15.7,6,24.3,1.1
1977,10,21.2,9.4,35.7,4.4
1977,11,21.8,9.5,36.2,2.9
1977,12,24,11.6,34.1,5.5
1978,1,24.4,13.7,38.3,9.2
1978,2,24.6,13,35.7,7.8
1978,3,22.8,14.2,39.3,7
1978,4,19.4,10.1,28.3,3.7
1978,5,18.3,9.5,25.9,2.6
1978,6,13.7,6.5,16.3,0.2
1978,7,13.3,5.2,18.2,1.4
1978,8,13.8,5.4,19.5,0.9
1978,9,16.9,7.5,21.9,3.1
1978,10,20.2,8.2,30.2,2.5
1978,11,21.4,11.5,36.1,7.5
1978,12,21.5,12.2,30.6,6.5
1979,1,27.4,15.7,38,10.9
1979,2,26.1,15.4,41.3,10.1
1979,3,24.8,13.3,34,8
1979,4,19.3,9.5,26.7,4.6
1979,5,16.4,7.5,23.5,3.7
1979,6,15.6,7.1,18.7,0.8
1979,7,14.3,4.5,16.4,-2
1979,8,14.7,5.7,19,1.5
1979,9,16.9,7.4,24.3,0.6
1979,10,19.5,9,30.4,2.8
1979,11,21.7,11.4,29.6,6.4
1979,12,26.4,11.6,39.3,4.4
1980,1,24.2,12.9,34.2,6.6
1980,2,25.1,12.8,41.3,5.4
1980,3,23.4,11.9,36.1,5.8
1980,4,22,11.3,32.2,2.8
1980,5,18.8,8.8,24.1,4.5
1980,6,14.1,6.8,18.2,0.4
1980,7,13.8,5.7,17.6,0.4
1980,8,16.5,6.7,23.2,1.5
1980,9,19.4,8.6,29.1,2.6
1980,10,20.6,9.1,28,1.5
1980,11,23,10.9,37.8,0.8
1980,12,25.9,13.7,41.8,6.1
1981,1,29.4,16.8,42.4,9.7
1981,2,28,16.8,40.4,11.5
1981,3,23.4,12.1,34.7,5.7
1981,4,22.4,10.3,30.2,4.7
1981,5,17.2,8.3,26.5,-0.1
1981,6,14.3,6.2,17.5,1.5
1981,7,14,6.7,17.4,1.7
1981,8,14.6,6.2,19.3,1.9
1981,9,18.6,8.4,28.4,3.7
1981,10,20.2,8.1,31.5,2.2
1981,11,21.3,10.6,31.7,7.5
1981,12,23.6,12.6,35.8,7.9
1982,1,27.9,15.7,44,10.7
1982,2,26.6,14.9,40.2,9.6
1982,3,25.2,13.7,34.5,7.5
1982,4,21.4,10.1,31,4.7
1982,5,17.5,8.5,23.4,2.9
1982,6,13.6,4.1,17.2,-1.8
1982,7,13.1,1.9,17.5,-4.4
1982,8,17.8,4.9,26.4,-2
1982,9,16.7,4.5,24.6,0.1
1982,10,19.8,7.1,33.8,1.1
1982,11,25.2,9.9,38.6,4.2
1982,12,23.6,12,36.3,5.1
1983,1,24.4,11.2,38.5,6.4
1983,2,28.8,14.9,45,9.6
1983,3,24,14.5,37.3,7.7
1983,4,18.2,9.1,25.2,3
1983,5,16.7,8.3,20.7,0.5
1983,6,13.3,4.6,17.7,-1
1983,7,12.8,4.7,16,-1.3
1983,8,15.2,6.9,18.9,0.9
1983,9,16.3,7,21,-0.6
1983,10,17.4,8.8,24.3,2.3
1983,11,20.4,10,30.6,3.8
1983,12,24,12.4,40,7.6
1984,1,23.9,12.6,32.8,6.3
1984,2,26,13,37,7.5
1984,3,22.5,10.7,31.7,4.7
1984,4,19.5,8.5,26.1,3.9
1984,5,18,5.4,24.5,1.1
1984,6,15.1,4.7,20.7,-1.6
1984,7,12.9,3.6,16.9,-4.4
1984,8,15.5,6.1,18.7,1.4
1984,9,15.3,5.9,22.7,-0.5
1984,10,19.6,7.6,28.4,1
1984,11,22.4,10.2,33.2,4
1984,12,22.6,10.7,28.7,5.7
1985,1,24.3,12.4,43.7,7.9
1985,2,24.7,12.6,36,7.2
1985,3,25.6,14.5,35.8,8.6
1985,4,21.8,11,34.1,4
1985,5,17.9,6.6,26.5,1.1
1985,6,14.1,5,18.8,-0.4
